"","Estimate","Std. Error","z value","Pr(>|z|)","2.5%","97.5%","AIC","BIC"
"(Intercept)",-7.74297349240222,0.0068400152509646,-1132.01114446496,0,-7.75639494553652,-7.7295825115132,53974.2805774818,54143.7223999385
"HBS08000016",-0.0363363450491676,0.0115734857617284,-3.13961979970858,0.00169167229740318,-0.059066783298881,-0.0136989393266594,53974.2805774818,54143.7223999385
"HBS08000017",0.118066148935196,0.00992278016939187,11.8984948693498,1.20500870386431e-32,0.0985939175229258,0.13749085284873,53974.2805774818,54143.7223999385
"HBS08000019",-0.0681363375275104,0.00841356626375118,-8.09838959979045,5.56914706131392e-16,-0.0846327438655337,-0.0516519677264373,53974.2805774818,54143.7223999385
"HBS08000020",-0.0784231894837438,0.00719420849351322,-10.9008780541258,1.14150356173107e-27,-0.0925174577170905,-0.0643165505440217,53974.2805774818,54143.7223999385
"HBS08000022",-0.115261363273746,0.00839421285930501,-13.7310508091271,6.61668456194124e-43,-0.131719626903651,-0.0988147191957962,53974.2805774818,54143.7223999385
"HBS08000024",-0.135481643566923,0.00674330993390637,-20.0912674776671,8.79871018452487e-90,-0.148688126951806,-0.122254728093559,53974.2805774818,54143.7223999385
"HBS08000025",-0.443929010263396,0.036788650564856,-12.0670098915637,1.57763067184098e-33,-0.516881695136606,-0.372633284268111,53974.2805774818,54143.7223999385
"HBS08000026",-0.0481806526828947,0.0249046749954579,-1.93460274794519,0.0530390625663932,-0.0973604382191374,0.000282272059951057,53974.2805774818,54143.7223999385
"HBS08000028",0.114474599451315,0.0230009030883393,4.9769610789478,6.45903029018812e-07,0.0690902473133631,0.159260000005433,53974.2805774818,54143.7223999385
"HBS08000029",-0.140431576397205,0.00812601680595092,-17.2817235984994,6.45886994122555e-67,-0.156361337721976,-0.124507752263647,53974.2805774818,54143.7223999385
"HBS08000030",0.0937833641768007,0.00746836918275196,12.5574087035482,3.61995070568957e-36,0.0791491671881676,0.108424777835418,53974.2805774818,54143.7223999385
"HBS08000031",0.154720927432623,0.0062515047915659,24.749389561592,3.14756010992979e-135,0.14248247011015,0.166988011905764,53974.2805774818,54143.7223999385
"HBS08000032",-0.335737448113103,0.00740987510284916,-45.3094611519173,0,-0.350256440227752,-0.321210124585191,53974.2805774818,54143.7223999385
"CancerTypeCervical",-2.86582150406529,0.0144079134452945,-198.906074425458,0,-2.89418059503826,-2.83770051063231,53974.2805774818,54143.7223999385
"CancerTypeColorectal",-0.394164943193731,0.00520888741887255,-75.6716188116516,0,-0.404377539490042,-0.38395901035524,53974.2805774818,54143.7223999385
"CancerTypeHead & Neck",-1.44028700931696,0.00756260037163711,-190.44864709745,0,-1.45513212965471,-1.42548710666277,53974.2805774818,54143.7223999385
"CancerTypeLung",-0.126729996723626,0.00483304789908247,-26.2215478451363,1.50944394526315e-151,-0.13620353723084,-0.117258284940589,53974.2805774818,54143.7223999385
"CancerTypeLymphoma",-1.5291703330251,0.00787121111894839,-194.273830280568,0,-1.54462339163755,-1.51376860571037,53974.2805774818,54143.7223999385
"CancerTypeMelanoma",-1.36141276916618,0.00732767714512854,-185.790495705893,0,-1.37579520196854,-1.34707107241686,53974.2805774818,54143.7223999385
"CancerTypeOvarian",-2.33927979542078,0.0111915512333388,-209.021944022579,0,-2.36128146783878,-2.31741063423765,53974.2805774818,54143.7223999385
"CancerTypeUpper GI",-0.674629312532909,0.0056902023472415,-118.559810594426,0,-0.685788641461338,-0.66348337568333,53974.2805774818,54143.7223999385
"CancerTypeUrological",0.0518064853846916,0.00461807856286222,11.2181905698422,3.31993691108206e-29,0.0427555805619065,0.060858164338732,53974.2805774818,54143.7223999385
"Date",0.0027270647757137,0.000155143710312867,17.5776689252451,3.6528862956106e-69,0.00242299501897056,0.00303114820912917,53974.2805774818,54143.7223999385
"Pandemic",-0.0658476497880712,0.00292818800131175,-22.4875075502574,5.50035917438023e-112,-0.0715960075227958,-0.0601176586320092,53974.2805774818,54143.7223999385
"PandemicRecovery",0.004197428067088,0.00450407951371668,0.931916955352408,0.351379444393732,-0.00464520686616065,0.0130105658207922,53974.2805774818,54143.7223999385
